seq_name,nu
A0A024RBG1_145_181,0.558
A0A075B6T7_1_32,0.525
A0A087WTH1_1_67,0.532
A0A087WTH5_1_132,0.496
A0A087WV53_1_46,0.567
A0A087WVF3_214_549,0.48
A0A087WVF3_1_53,0.545
A0A087WWA1_1_95,0.52
A0A087WX78_1_165,0.525
A0A087WX78_291_387,0.535
A0A087WXM9_1_373,0.501
A0A087WXS9_1_50,0.542
A0A087WXS9_214_549,0.497
A0A087X179_1_50,0.553
A0A087X179_214_549,0.477
A0A087X1G2_214_549,0.482
A0A087X1G2_1_53,0.543
A0A096LNP1_1_70,0.51
A0A096LP01_37_95,0.553
A0A096LP49_1_634,0.505
A0A096LP49_681_1063,0.508
A0A096LPI5_1_108,0.514
A0A0A0MT76_1_42,0.534
A0A0A6YYL3_331_461,0.567
A0A0A6YYL3_1_93,0.501
A0A0B4J2D5_1_36,0.585
A0A0B4J2F2_350_783,0.493
A0A0B4J2F2_278_307,0.57
A0A0D9SF12_1_145,0.499
A0A0G2JMD5_225_283,0.521
A0A0G2JMD5_106_149,0.561
A0A0J9YWL9_151_993,0.518
A0A0J9YX94_426_578,0.577
A0A0J9YX94_76_274,0.515
A0A0J9YXQ4_85_350,0.545
A0A0J9YXQ4_487_647,0.551
A0A0J9YY54_1_62,0.528
A0A0J9YY54_151_714,0.516
A0A0K2S4Q6_130_201,0.521
A0A0U1RQF7_1_123,0.504
A0A0U1RQI7_1_968,0.518
A0A0U1RQS6_1_177,0.53
A0A0U1RR11_239_272,0.591
A0A0U1RR11_1_90,0.576
A0A0U1RR37_1_186,0.532
A0A0U1RRE5_1_68,0.544
A0A0U1RRI6_1_100,0.567
A0A0U1RRI6_254_287,0.597
A0A0U1RRK4_1_108,0.549
A0A0U1RRL7_1_34,0.569
A0A0U1RRN3_1_59,0.511
A0A183_1_80,0.512
A0A1B0GTC6_1_90,0.5
A0A1B0GTD5_1_43,0.56
A0A1B0GTH6_1_429,0.519
A0A1B0GTH6_516_734,0.484
A0A1B0GTI1_1_127,0.523
A0A1B0GTK4_108_181,0.541
A0A1B0GTK4_1_36,0.543
A0A1B0GTK5_1_79,0.51
A0A1B0GTL2_1_96,0.549
A0A1B0GTQ4_1_84,0.511
A0A1B0GTR0_1_161,0.462
A0A1B0GTR3_1_108,0.523
A0A1B0GTR4_1_108,0.55
A0A1B0GTS1_188_333,0.378
A0A1B0GTS1_1_75,0.585
A0A1B0GTU1_94_805,0.523
A0A1B0GTW7_1_97,0.515
A0A1B0GTW7_593_788,0.501
A0A1B0GTW7_193_265,0.528
A0A1B0GTY4_146_177,0.581
